infinitivo,ending,pensyl,prepensyl,pospensyl,stem,person,number,tense,mood,class_pensyl,class_suff,conjugacion
agregar,ar,gre,g,re,g,1,0,0,0,0,o,agrego
agregar,ar,gre,g,re,g,2,0,0,0,0,as,agregas
agregar,ar,gre,g,re,g,3,0,0,0,0,a,agrega
agregar,ar,gre,g,re,g,1,1,0,0,0,amos,agregamos
agregar,ar,gre,g,re,g,2,1,0,0,0,áis,agregáis
agregar,ar,gre,g,re,g,3,1,0,0,0,an,agregan
agregar,ar,gre,g,re,g,1,0,1,0,0,aba,agregaba
agregar,ar,gre,g,re,g,2,0,1,0,0,abas,agregabas
agregar,ar,gre,g,re,g,3,0,1,0,0,aba,agregaba
agregar,ar,gre,g,re,g,1,1,1,0,0,ábamos,agregábamos
agregar,ar,gre,g,re,g,2,1,1,0,0,abais,agregabais
agregar,ar,gre,g,re,g,3,1,1,0,0,aban,agregaban
agregar,ar,gre,g,re,g,1,0,2,0,0,ué,agregué
agregar,ar,gre,g,re,g,2,0,2,0,0,aste,agregaste
agregar,ar,gre,g,re,g,3,0,2,0,0,ó,agregó
agregar,ar,gre,g,re,g,1,1,2,0,0,amos,agregamos
agregar,ar,gre,g,re,g,2,1,2,0,0,asteis,agregasteis
agregar,ar,gre,g,re,g,3,1,2,0,0,aron,agregaron
agregar,ar,gre,g,re,g,1,0,3,0,0,aré,agregaré
agregar,ar,gre,g,re,g,2,0,3,0,0,arás,agregarás
agregar,ar,gre,g,re,g,3,0,3,0,0,ará,agregará
agregar,ar,gre,g,re,g,1,1,3,0,0,aremos,agregaremos
agregar,ar,gre,g,re,g,2,1,3,0,0,aréis,agregaréis
agregar,ar,gre,g,re,g,3,1,3,0,0,arán,agregarán
agregar,ar,gre,g,re,g,1,0,4,0,0,aría,agregaría
agregar,ar,gre,g,re,g,2,0,4,0,0,arías,agregarías
agregar,ar,gre,g,re,g,3,0,4,0,0,aría,agregaría
agregar,ar,gre,g,re,g,1,1,4,0,0,aríamos,agregaríamos
agregar,ar,gre,g,re,g,2,1,4,0,0,aríais,agregaríais
agregar,ar,gre,g,re,g,3,1,4,0,0,arían,agregarían
agregar,ar,gre,g,re,g,1,0,0,1,0,ue,agregue
agregar,ar,gre,g,re,g,2,0,0,1,0,ues,agregues
agregar,ar,gre,g,re,g,3,0,0,1,0,ue,agregue
agregar,ar,gre,g,re,g,1,1,0,1,0,uemos,agreguemos
agregar,ar,gre,g,re,g,2,1,0,1,0,uéis,agreguéis
agregar,ar,gre,g,re,g,3,1,0,1,0,uen,agreguen
agregar,ar,gre,g,re,g,1,0,1,1,0,ara,agregara
agregar,ar,gre,g,re,g,2,0,1,1,0,aras,agregaras
agregar,ar,gre,g,re,g,3,0,1,1,0,ara,agregara
agregar,ar,gre,g,re,g,1,1,1,1,0,áramos,agregáramos
agregar,ar,gre,g,re,g,2,1,1,1,0,arais,agregarais
agregar,ar,gre,g,re,g,3,1,1,1,0,aran,agregaran
agregar,ar,gre,g,re,g,1,0,3,1,0,are,agregare
agregar,ar,gre,g,re,g,2,0,3,1,0,ares,agregares
agregar,ar,gre,g,re,g,3,0,3,1,0,are,agregare
agregar,ar,gre,g,re,g,1,1,3,1,0,áremos,agregáremos
agregar,ar,gre,g,re,g,2,1,3,1,0,areis,agregareis
agregar,ar,gre,g,re,g,3,1,3,1,0,aren,agregaren
agregar,ar,gre,g,re,g,0,0,0,2,-,?,-
agregar,ar,gre,g,re,g,2,0,0,2,0,a,agrega
agregar,ar,gre,g,re,g,3,0,0,2,0,ue,agregue
agregar,ar,gre,g,re,g,1,1,0,2,0,uemos,agreguemos
agregar,ar,gre,g,re,g,2,1,0,2,0,ad,agregad
agregar,ar,gre,g,re,g,3,1,0,2,0,uen,agreguen
admirar,ar,mi,NULL,mi,r,1,0,0,0,0,o,admiro
admirar,ar,mi,NULL,mi,r,2,0,0,0,0,as,admiras
admirar,ar,mi,NULL,mi,r,3,0,0,0,0,a,admira
admirar,ar,mi,NULL,mi,r,1,1,0,0,0,amos,admiramos
admirar,ar,mi,NULL,mi,r,2,1,0,0,0,áis,admiráis
admirar,ar,mi,NULL,mi,r,3,1,0,0,0,an,admiran
admirar,ar,mi,NULL,mi,r,1,0,1,0,0,aba,admiraba
admirar,ar,mi,NULL,mi,r,2,0,1,0,0,abas,admirabas
admirar,ar,mi,NULL,mi,r,3,0,1,0,0,aba,admiraba
admirar,ar,mi,NULL,mi,r,1,1,1,0,0,ábamos,admirábamos
admirar,ar,mi,NULL,mi,r,2,1,1,0,0,abais,admirabais
admirar,ar,mi,NULL,mi,r,3,1,1,0,0,aban,admiraban
admirar,ar,mi,NULL,mi,r,1,0,2,0,0,é,admiré
admirar,ar,mi,NULL,mi,r,2,0,2,0,0,aste,admiraste
admirar,ar,mi,NULL,mi,r,3,0,2,0,0,ó,admiró
admirar,ar,mi,NULL,mi,r,1,1,2,0,0,amos,admiramos
admirar,ar,mi,NULL,mi,r,2,1,2,0,0,asteis,admirasteis
admirar,ar,mi,NULL,mi,r,3,1,2,0,0,aron,admiraron
admirar,ar,mi,NULL,mi,r,1,0,3,0,0,aré,admiraré
admirar,ar,mi,NULL,mi,r,2,0,3,0,0,arás,admirarás
admirar,ar,mi,NULL,mi,r,3,0,3,0,0,ará,admirará
admirar,ar,mi,NULL,mi,r,1,1,3,0,0,aremos,admiraremos
admirar,ar,mi,NULL,mi,r,2,1,3,0,0,aréis,admiraréis
admirar,ar,mi,NULL,mi,r,3,1,3,0,0,arán,admirarán
admirar,ar,mi,NULL,mi,r,1,0,4,0,0,aría,admiraría
admirar,ar,mi,NULL,mi,r,2,0,4,0,0,arías,admirarías
admirar,ar,mi,NULL,mi,r,3,0,4,0,0,aría,admiraría
admirar,ar,mi,NULL,mi,r,1,1,4,0,0,aríamos,admiraríamos
admirar,ar,mi,NULL,mi,r,2,1,4,0,0,aríais,admiraríais
admirar,ar,mi,NULL,mi,r,3,1,4,0,0,arían,admirarían
admirar,ar,mi,NULL,mi,r,1,0,0,1,0,e,admire
admirar,ar,mi,NULL,mi,r,2,0,0,1,0,es,admires
admirar,ar,mi,NULL,mi,r,3,0,0,1,0,e,admire
admirar,ar,mi,NULL,mi,r,1,1,0,1,0,emos,admiremos
admirar,ar,mi,NULL,mi,r,2,1,0,1,0,éis,admiréis
admirar,ar,mi,NULL,mi,r,3,1,0,1,0,en,admiren
admirar,ar,mi,NULL,mi,r,1,0,1,1,0,ara,admirara
admirar,ar,mi,NULL,mi,r,2,0,1,1,0,aras,admiraras
admirar,ar,mi,NULL,mi,r,3,0,1,1,0,ara,admirara
admirar,ar,mi,NULL,mi,r,1,1,1,1,0,áramos,admiráramos
admirar,ar,mi,NULL,mi,r,2,1,1,1,0,arais,admirarais
admirar,ar,mi,NULL,mi,r,3,1,1,1,0,aran,admiraran
admirar,ar,mi,NULL,mi,r,1,0,3,1,0,are,admirare
admirar,ar,mi,NULL,mi,r,2,0,3,1,0,ares,admirares
admirar,ar,mi,NULL,mi,r,3,0,3,1,0,are,admirare
admirar,ar,mi,NULL,mi,r,1,1,3,1,0,áremos,admiráremos
admirar,ar,mi,NULL,mi,r,2,1,3,1,0,areis,admirareis
admirar,ar,mi,NULL,mi,r,3,1,3,1,0,aren,admiraren
admirar,ar,mi,NULL,mi,r,0,0,0,2,-,?,-
admirar,ar,mi,NULL,mi,r,2,0,0,2,0,a,admira
admirar,ar,mi,NULL,mi,r,3,0,0,2,0,e,admire
admirar,ar,mi,NULL,mi,r,1,1,0,2,0,emos,admiremos
admirar,ar,mi,NULL,mi,r,2,1,0,2,0,ad,admirad
admirar,ar,mi,NULL,mi,r,3,1,0,2,0,en,admiren
admitir,ir,mi,NULL,mi,t,1,0,0,0,0,o,admito
admitir,ir,mi,NULL,mi,t,2,0,0,0,0,es,admites
admitir,ir,mi,NULL,mi,t,3,0,0,0,0,e,admite
admitir,ir,mi,NULL,mi,t,1,1,0,0,0,imos,admitimos
admitir,ir,mi,NULL,mi,t,2,1,0,0,0,ís,admitís
admitir,ir,mi,NULL,mi,t,3,1,0,0,0,en,admiten
admitir,ir,mi,NULL,mi,t,1,0,1,0,0,ía,admitía
admitir,ir,mi,NULL,mi,t,2,0,1,0,0,ías,admitías
admitir,ir,mi,NULL,mi,t,3,0,1,0,0,ía,admitía
admitir,ir,mi,NULL,mi,t,1,1,1,0,0,íamos,admitíamos
admitir,ir,mi,NULL,mi,t,2,1,1,0,0,íais,admitíais
admitir,ir,mi,NULL,mi,t,3,1,1,0,0,ían,admitían
admitir,ir,mi,NULL,mi,t,1,0,2,0,0,í,admití
admitir,ir,mi,NULL,mi,t,2,0,2,0,0,iste,admitiste
admitir,ir,mi,NULL,mi,t,3,0,2,0,0,ió,admitió
admitir,ir,mi,NULL,mi,t,1,1,2,0,0,imos,admitimos
admitir,ir,mi,NULL,mi,t,2,1,2,0,0,isteis,admitisteis
admitir,ir,mi,NULL,mi,t,3,1,2,0,0,ieron,admitieron
admitir,ir,mi,NULL,mi,t,1,0,3,0,0,iré,admitiré
admitir,ir,mi,NULL,mi,t,2,0,3,0,0,irás,admitirás
admitir,ir,mi,NULL,mi,t,3,0,3,0,0,irá,admitirá
admitir,ir,mi,NULL,mi,t,1,1,3,0,0,iremos,admitiremos
admitir,ir,mi,NULL,mi,t,2,1,3,0,0,iréis,admitiréis
admitir,ir,mi,NULL,mi,t,3,1,3,0,0,irán,admitirán
admitir,ir,mi,NULL,mi,t,1,0,4,0,0,iría,admitiría
admitir,ir,mi,NULL,mi,t,2,0,4,0,0,irías,admitirías
admitir,ir,mi,NULL,mi,t,3,0,4,0,0,iría,admitiría
admitir,ir,mi,NULL,mi,t,1,1,4,0,0,iríamos,admitiríamos
admitir,ir,mi,NULL,mi,t,2,1,4,0,0,iríais,admitiríais
admitir,ir,mi,NULL,mi,t,3,1,4,0,0,irían,admitirían
admitir,ir,mi,NULL,mi,t,1,0,0,1,0,a,admita
admitir,ir,mi,NULL,mi,t,2,0,0,1,0,as,admitas
admitir,ir,mi,NULL,mi,t,3,0,0,1,0,a,admita
admitir,ir,mi,NULL,mi,t,1,1,0,1,0,amos,admitamos
admitir,ir,mi,NULL,mi,t,2,1,0,1,0,áis,admitáis
admitir,ir,mi,NULL,mi,t,3,1,0,1,0,an,admitan
admitir,ir,mi,NULL,mi,t,1,0,1,1,0,iera,admitiera
admitir,ir,mi,NULL,mi,t,2,0,1,1,0,ieras,admitieras
admitir,ir,mi,NULL,mi,t,3,0,1,1,0,iera,admitiera
admitir,ir,mi,NULL,mi,t,1,1,1,1,0,iéramos,admitiéramos
admitir,ir,mi,NULL,mi,t,2,1,1,1,0,ierais,admitierais
admitir,ir,mi,NULL,mi,t,3,1,1,1,0,ieran,admitieran
admitir,ir,mi,NULL,mi,t,1,0,3,1,0,iere,admitiere
admitir,ir,mi,NULL,mi,t,2,0,3,1,0,ieres,admitieres
admitir,ir,mi,NULL,mi,t,3,0,3,1,0,iere,admitiere
admitir,ir,mi,NULL,mi,t,1,1,3,1,0,iéremos,admitiéremos
admitir,ir,mi,NULL,mi,t,2,1,3,1,0,iereis,admitiereis
admitir,ir,mi,NULL,mi,t,3,1,3,1,0,ieren,admitieren
admitir,ir,mi,NULL,mi,t,0,0,0,2,-,?,-
admitir,ir,mi,NULL,mi,t,2,0,0,2,0,e,admite
admitir,ir,mi,NULL,mi,t,3,0,0,2,0,a,admita
admitir,ir,mi,NULL,mi,t,1,1,0,2,0,amos,admitamos
admitir,ir,mi,NULL,mi,t,2,1,0,2,0,id,admitid
admitir,ir,mi,NULL,mi,t,3,1,0,2,0,an,admitan
aconsejar,ar,se,NULL,se,j,1,0,0,0,0,o,aconsejo
aconsejar,ar,se,NULL,se,j,2,0,0,0,0,as,aconsejas
aconsejar,ar,se,NULL,se,j,3,0,0,0,0,a,aconseja
aconsejar,ar,se,NULL,se,j,1,1,0,0,0,amos,aconsejamos
aconsejar,ar,se,NULL,se,j,2,1,0,0,0,áis,aconsejáis
aconsejar,ar,se,NULL,se,j,3,1,0,0,0,an,aconsejan
aconsejar,ar,se,NULL,se,j,1,0,1,0,0,aba,aconsejaba
aconsejar,ar,se,NULL,se,j,2,0,1,0,0,abas,aconsejabas
aconsejar,ar,se,NULL,se,j,3,0,1,0,0,aba,aconsejaba
aconsejar,ar,se,NULL,se,j,1,1,1,0,0,ábamos,aconsejábamos
aconsejar,ar,se,NULL,se,j,2,1,1,0,0,abais,aconsejabais
aconsejar,ar,se,NULL,se,j,3,1,1,0,0,aban,aconsejaban
aconsejar,ar,se,NULL,se,j,1,0,2,0,0,é,aconsejé
aconsejar,ar,se,NULL,se,j,2,0,2,0,0,aste,aconsejaste
aconsejar,ar,se,NULL,se,j,3,0,2,0,0,ó,aconsejó
aconsejar,ar,se,NULL,se,j,1,1,2,0,0,amos,aconsejamos
aconsejar,ar,se,NULL,se,j,2,1,2,0,0,asteis,aconsejasteis
aconsejar,ar,se,NULL,se,j,3,1,2,0,0,aron,aconsejaron
aconsejar,ar,se,NULL,se,j,1,0,3,0,0,aré,aconsejaré
aconsejar,ar,se,NULL,se,j,2,0,3,0,0,arás,aconsejarás
aconsejar,ar,se,NULL,se,j,3,0,3,0,0,ará,aconsejará
aconsejar,ar,se,NULL,se,j,1,1,3,0,0,aremos,aconsejaremos
aconsejar,ar,se,NULL,se,j,2,1,3,0,0,aréis,aconsejaréis
aconsejar,ar,se,NULL,se,j,3,1,3,0,0,arán,aconsejarán
aconsejar,ar,se,NULL,se,j,1,0,4,0,0,aría,aconsejaría
aconsejar,ar,se,NULL,se,j,2,0,4,0,0,arías,aconsejarías
aconsejar,ar,se,NULL,se,j,3,0,4,0,0,aría,aconsejaría
aconsejar,ar,se,NULL,se,j,1,1,4,0,0,aríamos,aconsejaríamos
aconsejar,ar,se,NULL,se,j,2,1,4,0,0,aríais,aconsejaríais
aconsejar,ar,se,NULL,se,j,3,1,4,0,0,arían,aconsejarían
aconsejar,ar,se,NULL,se,j,1,0,0,1,0,e,aconseje
aconsejar,ar,se,NULL,se,j,2,0,0,1,0,es,aconsejes
aconsejar,ar,se,NULL,se,j,3,0,0,1,0,e,aconseje
aconsejar,ar,se,NULL,se,j,1,1,0,1,0,emos,aconsejemos
aconsejar,ar,se,NULL,se,j,2,1,0,1,0,éis,aconsejéis
aconsejar,ar,se,NULL,se,j,3,1,0,1,0,en,aconsejen
aconsejar,ar,se,NULL,se,j,1,0,1,1,0,ara,aconsejara
aconsejar,ar,se,NULL,se,j,2,0,1,1,0,aras,aconsejaras
aconsejar,ar,se,NULL,se,j,3,0,1,1,0,ara,aconsejara
aconsejar,ar,se,NULL,se,j,1,1,1,1,0,áramos,aconsejáramos
aconsejar,ar,se,NULL,se,j,2,1,1,1,0,arais,aconsejarais
aconsejar,ar,se,NULL,se,j,3,1,1,1,0,aran,aconsejaran
aconsejar,ar,se,NULL,se,j,1,0,3,1,0,are,aconsejare
aconsejar,ar,se,NULL,se,j,2,0,3,1,0,ares,aconsejares
aconsejar,ar,se,NULL,se,j,3,0,3,1,0,are,aconsejare
aconsejar,ar,se,NULL,se,j,1,1,3,1,0,áremos,aconsejáremos
aconsejar,ar,se,NULL,se,j,2,1,3,1,0,areis,aconsejareis
aconsejar,ar,se,NULL,se,j,3,1,3,1,0,aren,aconsejaren
aconsejar,ar,se,NULL,se,j,0,0,0,2,-,?,-
aconsejar,ar,se,NULL,se,j,2,0,0,2,0,a,aconseja
aconsejar,ar,se,NULL,se,j,3,0,0,2,0,e,aconseje
aconsejar,ar,se,NULL,se,j,1,1,0,2,0,emos,aconsejemos
aconsejar,ar,se,NULL,se,j,2,1,0,2,0,ad,aconsejad
aconsejar,ar,se,NULL,se,j,3,1,0,2,0,en,aconsejen
afrontar,ar,fron,f,ron,t,1,0,0,0,0,o,afronto
afrontar,ar,fron,f,ron,t,2,0,0,0,0,as,afrontas
afrontar,ar,fron,f,ron,t,3,0,0,0,0,a,afronta
afrontar,ar,fron,f,ron,t,1,1,0,0,0,amos,afrontamos
afrontar,ar,fron,f,ron,t,2,1,0,0,0,áis,afrontáis
afrontar,ar,fron,f,ron,t,3,1,0,0,0,an,afrontan
afrontar,ar,fron,f,ron,t,1,0,1,0,0,aba,afrontaba
afrontar,ar,fron,f,ron,t,2,0,1,0,0,abas,afrontabas
afrontar,ar,fron,f,ron,t,3,0,1,0,0,aba,afrontaba
afrontar,ar,fron,f,ron,t,1,1,1,0,0,ábamos,afrontábamos
afrontar,ar,fron,f,ron,t,2,1,1,0,0,abais,afrontabais
afrontar,ar,fron,f,ron,t,3,1,1,0,0,aban,afrontaban
afrontar,ar,fron,f,ron,t,1,0,2,0,0,é,afronté
afrontar,ar,fron,f,ron,t,2,0,2,0,0,aste,afrontaste
afrontar,ar,fron,f,ron,t,3,0,2,0,0,ó,afrontó
afrontar,ar,fron,f,ron,t,1,1,2,0,0,amos,afrontamos
afrontar,ar,fron,f,ron,t,2,1,2,0,0,asteis,afrontasteis
afrontar,ar,fron,f,ron,t,3,1,2,0,0,aron,afrontaron
afrontar,ar,fron,f,ron,t,1,0,3,0,0,aré,afrontaré
afrontar,ar,fron,f,ron,t,2,0,3,0,0,arás,afrontarás
afrontar,ar,fron,f,ron,t,3,0,3,0,0,ará,afrontará
afrontar,ar,fron,f,ron,t,1,1,3,0,0,aremos,afrontaremos
