infinitivo,ending,pensyl,stem,pronoun,tense,mood,class_suff,class_pensyl,conjugacion
agregar,ar,&gamma.re,&gamma.,yo,0,0,o,0,agrego
agregar,ar,&gamma.re,&gamma.,tu,0,0,as,0,agregas
agregar,ar,&gamma.re,&gamma.,el,0,0,a,0,agrega
agregar,ar,&gamma.re,&gamma.,nosotros,0,0,amos,0,agregamos
agregar,ar,&gamma.re,&gamma.,vosotros,0,0,áis,0,agregáis
agregar,ar,&gamma.re,&gamma.,ellos,0,0,an,0,agregan
agregar,ar,&gamma.re,&gamma.,yo,1,0,aba,0,agregaba
agregar,ar,&gamma.re,&gamma.,tu,1,0,abas,0,agregabas
agregar,ar,&gamma.re,&gamma.,el,1,0,aba,0,agregaba
agregar,ar,&gamma.re,&gamma.,nosotros,1,0,ábamos,0,agregábamos
agregar,ar,&gamma.re,&gamma.,vosotros,1,0,abais,0,agregabais
agregar,ar,&gamma.re,&gamma.,ellos,1,0,aban,0,agregaban
agregar,ar,&gamma.re,&gamma.,yo,2,0,ué,0,agregué
agregar,ar,&gamma.re,&gamma.,tu,2,0,aste,0,agregaste
agregar,ar,&gamma.re,&gamma.,el,2,0,ó,0,agregó
agregar,ar,&gamma.re,&gamma.,nosotros,2,0,amos,0,agregamos
agregar,ar,&gamma.re,&gamma.,vosotros,2,0,asteis,0,agregasteis
agregar,ar,&gamma.re,&gamma.,ellos,2,0,aron,0,agregaron
agregar,ar,&gamma.re,&gamma.,yo,1,0,aré,0,agregaré
agregar,ar,&gamma.re,&gamma.,tu,1,0,arás,0,agregarás
agregar,ar,&gamma.re,&gamma.,el,1,0,ará,0,agregará
agregar,ar,&gamma.re,&gamma.,nosotros,1,0,aremos,0,agregaremos
agregar,ar,&gamma.re,&gamma.,vosotros,1,0,aréis,0,agregaréis
agregar,ar,&gamma.re,&gamma.,ellos,1,0,arán,0,agregarán
agregar,ar,&gamma.re,&gamma.,yo,2,0,aría,0,agregaría
agregar,ar,&gamma.re,&gamma.,tu,2,0,arías,0,agregarías
agregar,ar,&gamma.re,&gamma.,el,2,0,aría,0,agregaría
