infinitivo,ending,stem,pensyl,prePensyl,posPensyl,pronoun,tense,mood,class_suff,class_pensyl,class_prePensyl,class_posPensyl,conjugacion
agregar,ar,g,gre,g,re,yo,0,0,o,0,NULL,0,agrego
admirar,ar,r,mi,NULL,mi,yo,0,0,o,0,NULL,0,admiro
admitir,ir,t,mi,NULL,mi,yo,0,0,o,0,NULL,0,admito
aconsejar,ar,j,se,NULL,se,yo,0,0,o,0,NULL,0,aconsejo
afrontar,ar,t,fron,f,ron,yo,0,0,o,0,NULL,0,afronto
estar,ar,t,es,NULL,es,yo,0,0,oy,0,NULL,0,estoy
alertar,ar,t,ler,l,er,yo,0,0,o,0,NULL,0,alerto
permitir,ir,t,mi,NULL,mi,yo,0,0,o,0,NULL,0,permito
entretener,er,n,te,NULL,te,yo,0,0,go,ten,t,en,entretengo
analizar,ar,z,li,NULL,li,yo,0,0,o,0,NULL,0,analizo
anunciar,ar,ci,nun,n,un,yo,0,0,o,0,NULL,0,anuncio
molestar,ar,t,les,l,es,yo,0,0,o,0,NULL,0,molesto
contestar,ar,t,tes,t,es,yo,0,0,o,0,NULL,0,contesto
disculpar,ar,p,cul,c,ul,yo,0,0,o,0,NULL,0,disculpo
aparecer,er,c,re,NULL,re,yo,0,0,o,rez,r,ez,aparezco
aplaudir,ir,d,plau,p,lau,yo,0,0,o,0,NULL,0,aplaudo
apreciar,ar,ci,pre,p,re,yo,0,0,o,0,NULL,0,aprecio
aprobar,ar,b,pro,p,ro,yo,0,0,o,prue,p,rue,apruebo
discutir,ir,t,cu,NULL,cu,yo,0,0,o,0,NULL,0,discuto
arreglar,ar,gl,rre,r,re,yo,0,0,o,0,NULL,0,arreglo
arrestar,ar,t,rres,r,res,yo,0,0,o,0,NULL,0,arresto
llegar,ar,g,lle,l,le,yo,0,0,o,0,NULL,0,llego
preguntar,ar,t,gun,g,un,yo,0,0,o,0,NULL,0,pregunto
adjuntar,ar,t,jun,j,un,yo,0,0,o,0,NULL,0,adjunto
atacar,ar,c,ta,NULL,ta,yo,0,0,o,0,NULL,0,ataco
intentar,ar,t,ten,t,en,yo,0,0,o,0,NULL,0,intento
asistir,ir,t,sis,s,is,yo,0,0,o,0,NULL,0,asisto
atraer,er,NULL,tra,t,ra,yo,0,0,go,trai,t,rai,atraigo
evitar,ar,t,vi,NULL,vi,yo,0,0,o,0,NULL,0,evito
apoyar,ar,y,po,NULL,po,yo,0,0,o,0,NULL,0,apoyo
hornear,ar,NULL,ne,NULL,ne,yo,0,0,o,0,NULL,0,horneo
prohibir,ir,b,hi,NULL,hi,yo,0,0,o,hí,NULL,hí,prohíbo
rogar,ar,g,ro,NULL,ro,yo,0,0,o,rue,r,ue,ruego
pertenecer,er,c,ne,NULL,ne,yo,0,0,o,nez,n,ez,pertenezco
bendecir,ir,c,de,NULL,de,yo,0,0,go,di,NULL,di,bendigo
enceguecer,er,c,gue,g,ue,yo,0,0,o,guez,g,uez,enceguezco
hervir,ir,v,her,h,er,yo,0,0,o,hier,h,ier,hiervo
calcular,ar,l,cu,NULL,cu,yo,0,0,o,0,NULL,0,calculo
acampar,ar,p,cam,c,am,yo,0,0,o,0,NULL,0,acampo
cuidar,ar,d,cui,c,ui,yo,0,0,o,0,NULL,0,cuido
causar,ar,s,cau,c,au,yo,0,0,o,0,NULL,0,causo
desafiar,ar,fi,sa,NULL,sa,yo,0,0,fío,0,NULL,0,desafío
cambiar,ar,bi,cam,c,am,yo,0,0,o,0,NULL,0,cambio
cargar,ar,g,car,c,ar,yo,0,0,o,0,NULL,0,cargo
cazar,ar,z,ca,NULL,ca,yo,0,0,o,0,NULL,0,cazo
engañar,ar,ñ,ga,NULL,ga,yo,0,0,o,0,NULL,0,engaño
verificar,ar,c,fi,NULL,fi,yo,0,0,o,0,NULL,0,verifico
alegrar,ar,gr,le,NULL,le,yo,0,0,o,0,NULL,0,alegro
mascar,ar,c,mas,m,as,yo,0,0,o,0,NULL,0,masco
reclamar,ar,m,cla,c,la,yo,0,0,o,0,NULL,0,reclamo
limpiar,ar,pi,lim,l,im,yo,0,0,o,0,NULL,0,limpio
aclarar,ar,r,cla,c,la,yo,0,0,o,0,NULL,0,aclaro
cerrar,ar,rr,ce,NULL,ce,yo,0,0,o,cie,c,ie,cierro
cobrar,ar,br,co,NULL,co,yo,0,0,o,0,NULL,0,cobro
coleccionar,ar,n,cio,c,io,yo,0,0,o,0,NULL,0,colecciono
peinar,ar,n,pei,p,ei,yo,0,0,o,0,NULL,0,peino
comparar,ar,r,pa,NULL,pa,yo,0,0,o,0,NULL,0,comparo
competir,ir,t,pe,NULL,pe,yo,0,0,o,pi,NULL,pi,compito
completar,ar,t,ple,p,le,yo,0,0,o,0,NULL,0,completo
concernir,ir,n,cer,c,er,yo,0,0,-,-,-,-,-
confesar,ar,s,fe,NULL,fe,yo,0,0,o,fie,f,ie,confieso
confundir,ir,d,fun,f,un,yo,0,0,o,0,NULL,0,confundo
conectar,ar,t,nec,n,ec,yo,0,0,o,0,NULL,0,conecto
considerar,ar,r,de,NULL,de,yo,0,0,o,0,NULL,0,considero
consistir,ir,t,sis,s,is,yo,0,0,o,0,NULL,0,consisto
contener,er,n,te,NULL,te,yo,0,0,go,ten,t,en,contengo
continuar,ar,nu,ti,NULL,ti,yo,0,0,núo,0,NULL,0,continúo
copiar,ar,pi,co,NULL,co,yo,0,0,o,0,NULL,0,copio
corregir,ir,g,rre,r,re,yo,0,0,jo,rri,r,ri,corrijo
toser,er,s,to,NULL,to,yo,0,0,o,0,NULL,0,toso
contar,ar,t,con,c,on,yo,0,0,o,cuen,c,uen,cuento
cubrir,ir,br,cu,NULL,cu,yo,0,0,o,0,NULL,0,cubro
rajar,ar,j,ra,NULL,ra,yo,0,0,o,0,NULL,0,rajo
embestir,ir,t,bes,b,es,yo,0,0,o,bis,b,is,embisto
cruzar,ar,z,cru,c,ru,yo,0,0,o,0,NULL,0,cruzo
aplastar,ar,t,plas,p,las,yo,0,0,o,0,NULL,0,aplasto
gritar,ar,t,gri,g,ri,yo,0,0,o,0,NULL,0,grito
llorar,ar,r,llo,l,lo,yo,0,0,o,0,NULL,0,lloro
curar,ar,r,cu,NULL,cu,yo,0,0,o,0,NULL,0,curo
curvar,ar,v,cur,c,ur,yo,0,0,o,0,NULL,0,curvo
pasear,ar,NULL,se,NULL,se,yo,0,0,o,0,NULL,0,paseo
dañar,ar,ñ,da,NULL,da,yo,0,0,o,0,NULL,0,daño
bailar,ar,l,bai,b,ai,yo,0,0,o,0,NULL,0,bailo
decidir,ir,d,ci,NULL,ci,yo,0,0,o,0,NULL,0,decido
decorar,ar,r,co,NULL,co,yo,0,0,o,0,NULL,0,decoro
demorar,ar,r,mo,NULL,mo,yo,0,0,o,0,NULL,0,demoro
suprimir,ir,m,pri,p,ri,yo,0,0,o,0,NULL,0,suprimo
eliminar,ar,n,mi,NULL,mi,yo,0,0,o,0,NULL,0,elimino
borrar,ar,rr,bo,NULL,bo,yo,0,0,o,0,NULL,0,borro
deleitar,ar,t,lei,l,ei,yo,0,0,o,0,NULL,0,deleito
repartir,ir,t,par,p,ar,yo,0,0,o,0,NULL,0,reparto
depender,er,d,pen,p,en,yo,0,0,o,0,NULL,0,dependo
describir,ir,b,cri,c,ri,yo,0,0,o,0,NULL,0,describo
merecer,er,c,re,NULL,re,yo,0,0,o,rez,r,ez,merezco
destruir,ir,tru,des,d,es,yo,0,0,yo,0,NULL,0,destruyo
detectar,ar,t,tec,t,ec,yo,0,0,o,0,NULL,0,detecto
desarrollar,ar,ll,rro,r,ro,yo,0,0,o,0,NULL,0,desarrollo
restar,ar,t,res,r,es,yo,0,0,o,0,NULL,0,resto
desaparecer,er,c,re,NULL,re,yo,0,0,o,rez,r,ez,desaparezco
descubrir,ir,br,cu,NULL,cu,yo,0,0,o,0,NULL,0,descubro
disgustar,ar,t,gus,g,us,yo,0,0,o,0,NULL,0,disgusto
dividir,ir,d,vi,NULL,vi,yo,0,0,o,0,NULL,0,divido
duplicar,ar,c,pli,p,li,yo,0,0,o,0,NULL,0,duplico
dudar,ar,d,du,NULL,du,yo,0,0,o,0,NULL,0,dudo
soñar,ar,ñ,so,NULL,so,yo,0,0,o,sue,s,ue,sueño
vestir,ir,t,ves,v,es,yo,0,0,o,vis,v,is,visto
dejar,ar,j,de,NULL,de,yo,0,0,o,0,NULL,0,dejo
caer,er,NULL,ca,NULL,ca,yo,0,0,go,cai,c,ai,caigo
ahogar,ar,g,ho,NULL,ho,yo,0,0,o,0,NULL,0,ahogo
secar,ar,c,se,NULL,se,yo,0,0,o,0,NULL,0,seco
ganar,ar,n,ga,NULL,ga,yo,0,0,o,0,NULL,0,gano
educar,ar,c,du,NULL,du,yo,0,0,o,0,NULL,0,educo
avergonzar,ar,z,gon,g,on,yo,0,0,o,güen,g,üen,avergüenzo
emplear,ar,NULL,ple,p,le,yo,0,0,o,0,NULL,0,empleo
vaciar,ar,ci,va,NULL,va,yo,0,0,cío,0,NULL,0,vacío
alentar,ar,t,len,l,en,yo,0,0,o,lien,l,ien,aliento
