infinitivo,pensyl,stem,-,tense,mood,class_pensyl,class_suff,conjugacion
agregar,gre,g,yo,0,0,0,o,agrego
agregar,gre,g,tu,0,0,0,as,agregas
agregar,gre,g,el,0,0,0,a,agrega
agregar,gre,g,nosotros,0,0,0,amos,agregamos
agregar,gre,g,vosotros,0,0,0,áis,agregáis
agregar,gre,g,ellos,0,0,0,an,agregan
agregar,gre,g,yo,1,0,0,aba,agregaba
agregar,gre,g,tu,1,0,0,abas,agregabas
agregar,gre,g,el,1,0,0,aba,agregaba
agregar,gre,g,nosotros,1,0,0,ábamos,agregábamos
agregar,gre,g,vosotros,1,0,0,abais,agregabais
agregar,gre,g,ellos,1,0,0,aban,agregaban
agregar,gre,g,yo,2,0,0,ué,agregué
agregar,gre,g,tu,2,0,0,aste,agregaste
agregar,gre,g,el,2,0,0,ó,agregó
agregar,gre,g,nosotros,2,0,0,amos,agregamos
agregar,gre,g,vosotros,2,0,0,asteis,agregasteis
agregar,gre,g,ellos,2,0,0,aron,agregaron
agregar,gre,g,yo,3,0,0,aré,agregaré
agregar,gre,g,tu,3,0,0,arás,agregarás
agregar,gre,g,el,3,0,0,ará,agregará
agregar,gre,g,nosotros,3,0,0,aremos,agregaremos
agregar,gre,g,vosotros,3,0,0,aréis,agregaréis
agregar,gre,g,ellos,3,0,0,arán,agregarán
agregar,gre,g,yo,4,0,0,aría,agregaría
agregar,gre,g,tu,4,0,0,arías,agregarías
agregar,gre,g,el,4,0,0,aría,agregaría
agregar,gre,g,nosotros,4,0,0,aríamos,agregaríamos
agregar,gre,g,vosotros,4,0,0,aríais,agregaríais
agregar,gre,g,ellos,4,0,0,arían,agregarían
agregar,gre,g,yo,0,1,0,ue,agregue
agregar,gre,g,tu,0,1,0,ues,agregues
agregar,gre,g,el,0,1,0,ue,agregue
agregar,gre,g,nosotros,0,1,0,uemos,agreguemos
agregar,gre,g,vosotros,0,1,0,uéis,agreguéis
agregar,gre,g,ellos,0,1,0,uen,agreguen
agregar,gre,g,yo,1,1,0,ara,agregara
agregar,gre,g,tu,1,1,0,aras,agregaras
agregar,gre,g,el,1,1,0,ara,agregara
agregar,gre,g,nosotros,1,1,0,áramos,agregáramos
agregar,gre,g,vosotros,1,1,0,arais,agregarais
agregar,gre,g,ellos,1,1,0,aran,agregaran
agregar,gre,g,yo,3,1,0,are,agregare
agregar,gre,g,tu,3,1,0,ares,agregares
agregar,gre,g,el,3,1,0,are,agregare
agregar,gre,g,nosotros,3,1,0,áremos,agregáremos
agregar,gre,g,vosotros,3,1,0,areis,agregareis
agregar,gre,g,ellos,3,1,0,aren,agregaren
agregar,gre,g,-,0,2,-,,–
agregar,gre,g,tu,0,2,0,a,agrega
agregar,gre,g,-,0,2,0,ue,agregue
agregar,gre,g,nosotros,0,2,0,uemos,agreguemos
agregar,gre,g,vosotros,0,2,0,ad,agregad
agregar,gre,g,-,0,2,0,uen,agreguen
admirar,mi,r,yo,0,0,0,o,admiro
admirar,mi,r,tu,0,0,0,as,admiras
admirar,mi,r,el,0,0,0,a,admira
admirar,mi,r,nosotros,0,0,0,amos,admiramos
admirar,mi,r,vosotros,0,0,0,áis,admiráis
admirar,mi,r,ellos,0,0,0,an,admiran
admirar,mi,r,yo,1,0,0,aba,admiraba
admirar,mi,r,tu,1,0,0,abas,admirabas
admirar,mi,r,el,1,0,0,aba,admiraba
admirar,mi,r,nosotros,1,0,0,ábamos,admirábamos
admirar,mi,r,vosotros,1,0,0,abais,admirabais
admirar,mi,r,ellos,1,0,0,aban,admiraban
admirar,mi,r,yo,2,0,0,é,admiré
admirar,mi,r,tu,2,0,0,aste,admiraste
admirar,mi,r,el,2,0,0,ó,admiró
admirar,mi,r,nosotros,2,0,0,amos,admiramos
admirar,mi,r,vosotros,2,0,0,asteis,admirasteis
admirar,mi,r,ellos,2,0,0,aron,admiraron
admirar,mi,r,yo,3,0,0,aré,admiraré
admirar,mi,r,tu,3,0,0,arás,admirarás
admirar,mi,r,el,3,0,0,ará,admirará
admirar,mi,r,nosotros,3,0,0,aremos,admiraremos
admirar,mi,r,vosotros,3,0,0,aréis,admiraréis
admirar,mi,r,ellos,3,0,0,arán,admirarán
admirar,mi,r,yo,4,0,0,aría,admiraría
admirar,mi,r,tu,4,0,0,arías,admirarías
admirar,mi,r,el,4,0,0,aría,admiraría
admirar,mi,r,nosotros,4,0,0,aríamos,admiraríamos
admirar,mi,r,vosotros,4,0,0,aríais,admiraríais
admirar,mi,r,ellos,4,0,0,arían,admirarían
admirar,mi,r,yo,0,1,0,e,admire
admirar,mi,r,tu,0,1,0,es,admires
admirar,mi,r,el,0,1,0,e,admire
admirar,mi,r,nosotros,0,1,0,emos,admiremos
admirar,mi,r,vosotros,0,1,0,éis,admiréis
admirar,mi,r,ellos,0,1,0,en,admiren
admirar,mi,r,yo,1,1,0,ara,admirara
admirar,mi,r,tu,1,1,0,aras,admiraras
admirar,mi,r,el,1,1,0,ara,admirara
admirar,mi,r,nosotros,1,1,0,áramos,admiráramos
admirar,mi,r,vosotros,1,1,0,arais,admirarais
admirar,mi,r,ellos,1,1,0,aran,admiraran
admirar,mi,r,yo,3,1,0,are,admirare
admirar,mi,r,tu,3,1,0,ares,admirares
admirar,mi,r,el,3,1,0,are,admirare
admirar,mi,r,nosotros,3,1,0,áremos,admiráremos
admirar,mi,r,vosotros,3,1,0,areis,admirareis
admirar,mi,r,ellos,3,1,0,aren,admiraren
admirar,mi,r,-,0,2,-,,–
admirar,mi,r,tu,0,2,0,a,admira
admirar,mi,r,-,0,2,0,e,admire
