infinitivo,ending,stem,pensyl,prePensyl,posPensyl,person,number,tense,mood,class_suff,class_pensyl,class_prePensyl,class_posPensyl,conjugacion
agregar,ar,g,gre,g,re,1,0,0,0,o,0,NULL,0,agrego
agregar,ar,g,gre,g,re,2,0,0,0,as,0,NULL,0,agregas
agregar,ar,g,gre,g,re,3,0,0,0,a,0,NULL,0,agrega
agregar,ar,g,gre,g,re,1,1,0,0,amos,0,NULL,0,agregamos
agregar,ar,g,gre,g,re,2,1,0,0,áis,0,NULL,0,agregáis
agregar,ar,g,gre,g,re,3,1,0,0,an,0,NULL,0,agregan
agregar,ar,g,gre,g,re,1,0,1,0,aba,0,NULL,0,agregaba
agregar,ar,g,gre,g,re,2,0,1,0,abas,0,NULL,0,agregabas
agregar,ar,g,gre,g,re,3,0,1,0,aba,0,NULL,0,agregaba
agregar,ar,g,gre,g,re,1,1,1,0,ábamos,0,NULL,0,agregábamos
agregar,ar,g,gre,g,re,2,1,1,0,abais,0,NULL,0,agregabais
agregar,ar,g,gre,g,re,3,1,1,0,aban,0,NULL,0,agregaban
agregar,ar,g,gre,g,re,1,0,2,0,ué,0,NULL,0,agregué
agregar,ar,g,gre,g,re,2,0,2,0,aste,0,NULL,0,agregaste
agregar,ar,g,gre,g,re,3,0,2,0,ó,0,NULL,0,agregó
agregar,ar,g,gre,g,re,1,1,2,0,amos,0,NULL,0,agregamos
agregar,ar,g,gre,g,re,2,1,2,0,asteis,0,NULL,0,agregasteis
agregar,ar,g,gre,g,re,3,1,2,0,aron,0,NULL,0,agregaron
agregar,ar,g,gre,g,re,1,0,1,0,aré,0,NULL,0,agregaré
agregar,ar,g,gre,g,re,2,0,1,0,arás,0,NULL,0,agregarás
agregar,ar,g,gre,g,re,3,0,1,0,ará,0,NULL,0,agregará
agregar,ar,g,gre,g,re,1,1,1,0,aremos,0,NULL,0,agregaremos
agregar,ar,g,gre,g,re,2,1,1,0,aréis,0,NULL,0,agregaréis
agregar,ar,g,gre,g,re,3,1,1,0,arán,0,NULL,0,agregarán
agregar,ar,g,gre,g,re,1,0,2,0,aría,0,NULL,0,agregaría
agregar,ar,g,gre,g,re,2,0,2,0,arías,0,NULL,0,agregarías
agregar,ar,g,gre,g,re,3,0,2,0,aría,0,NULL,0,agregaría
agregar,ar,g,gre,g,re,1,1,2,0,aríamos,0,NULL,0,agregaríamos
agregar,ar,g,gre,g,re,2,1,2,0,aríais,0,NULL,0,agregaríais
agregar,ar,g,gre,g,re,3,1,2,0,arían,0,NULL,0,agregarían
agregar,ar,g,gre,g,re,1,0,0,1,ue,0,NULL,0,agregue
agregar,ar,g,gre,g,re,2,0,0,1,ues,0,NULL,0,agregues
agregar,ar,g,gre,g,re,3,0,0,1,ue,0,NULL,0,agregue
agregar,ar,g,gre,g,re,1,1,0,1,uemos,0,NULL,0,agreguemos
agregar,ar,g,gre,g,re,2,1,0,1,uéis,0,NULL,0,agreguéis
agregar,ar,g,gre,g,re,3,1,0,1,uen,0,NULL,0,agreguen
agregar,ar,g,gre,g,re,1,0,1,1,ara,0,NULL,0,agregara
agregar,ar,g,gre,g,re,2,0,1,1,aras,0,NULL,0,agregaras
agregar,ar,g,gre,g,re,3,0,1,1,ara,0,NULL,0,agregara
agregar,ar,g,gre,g,re,1,1,1,1,áramos,0,NULL,0,agregáramos
agregar,ar,g,gre,g,re,2,1,1,1,arais,0,NULL,0,agregarais
agregar,ar,g,gre,g,re,3,1,1,1,aran,0,NULL,0,agregaran
agregar,ar,g,gre,g,re,1,0,1,1,are,0,NULL,0,agregare
agregar,ar,g,gre,g,re,2,0,1,1,ares,0,NULL,0,agregares
agregar,ar,g,gre,g,re,3,0,1,1,are,0,NULL,0,agregare
agregar,ar,g,gre,g,re,1,1,1,1,áremos,0,NULL,0,agregáremos
agregar,ar,g,gre,g,re,2,1,1,1,areis,0,NULL,0,agregareis
agregar,ar,g,gre,g,re,3,1,1,1,aren,0,NULL,0,agregaren
agregar,ar,g,gre,g,re,0,0,0,2,-,-,-,-,-
agregar,ar,g,gre,g,re,2,0,0,2,a,0,NULL,0,agrega
agregar,ar,g,gre,g,re,0,0,0,2,ue,0,NULL,0,agregue
agregar,ar,g,gre,g,re,1,1,0,2,uemos,0,NULL,0,agreguemos
agregar,ar,g,gre,g,re,2,1,0,2,ad,0,NULL,0,agregad
agregar,ar,g,gre,g,re,0,0,0,2,uen,0,NULL,0,agreguen
admirar,ar,r,mi,NULL,mi,1,0,0,0,o,0,NULL,0,admiro
admirar,ar,r,mi,NULL,mi,2,0,0,0,as,0,NULL,0,admiras
admirar,ar,r,mi,NULL,mi,3,0,0,0,a,0,NULL,0,admira
admirar,ar,r,mi,NULL,mi,1,1,0,0,amos,0,NULL,0,admiramos
admirar,ar,r,mi,NULL,mi,2,1,0,0,áis,0,NULL,0,admiráis
admirar,ar,r,mi,NULL,mi,3,1,0,0,an,0,NULL,0,admiran
admirar,ar,r,mi,NULL,mi,1,0,1,0,aba,0,NULL,0,admiraba
admirar,ar,r,mi,NULL,mi,2,0,1,0,abas,0,NULL,0,admirabas
admirar,ar,r,mi,NULL,mi,3,0,1,0,aba,0,NULL,0,admiraba
admirar,ar,r,mi,NULL,mi,1,1,1,0,ábamos,0,NULL,0,admirábamos
admirar,ar,r,mi,NULL,mi,2,1,1,0,abais,0,NULL,0,admirabais
admirar,ar,r,mi,NULL,mi,3,1,1,0,aban,0,NULL,0,admiraban
admirar,ar,r,mi,NULL,mi,1,0,2,0,é,0,NULL,0,admiré
admirar,ar,r,mi,NULL,mi,2,0,2,0,aste,0,NULL,0,admiraste
admirar,ar,r,mi,NULL,mi,3,0,2,0,ó,0,NULL,0,admiró
admirar,ar,r,mi,NULL,mi,1,1,2,0,amos,0,NULL,0,admiramos
admirar,ar,r,mi,NULL,mi,2,1,2,0,asteis,0,NULL,0,admirasteis
admirar,ar,r,mi,NULL,mi,3,1,2,0,aron,0,NULL,0,admiraron
admirar,ar,r,mi,NULL,mi,1,0,1,0,aré,0,NULL,0,admiraré
admirar,ar,r,mi,NULL,mi,2,0,1,0,arás,0,NULL,0,admirarás
admirar,ar,r,mi,NULL,mi,3,0,1,0,ará,0,NULL,0,admirará
admirar,ar,r,mi,NULL,mi,1,1,1,0,aremos,0,NULL,0,admiraremos
admirar,ar,r,mi,NULL,mi,2,1,1,0,aréis,0,NULL,0,admiraréis
admirar,ar,r,mi,NULL,mi,3,1,1,0,arán,0,NULL,0,admirarán
admirar,ar,r,mi,NULL,mi,1,0,2,0,aría,0,NULL,0,admiraría
admirar,ar,r,mi,NULL,mi,2,0,2,0,arías,0,NULL,0,admirarías
admirar,ar,r,mi,NULL,mi,3,0,2,0,aría,0,NULL,0,admiraría
admirar,ar,r,mi,NULL,mi,1,1,2,0,aríamos,0,NULL,0,admiraríamos
admirar,ar,r,mi,NULL,mi,2,1,2,0,aríais,0,NULL,0,admiraríais
admirar,ar,r,mi,NULL,mi,3,1,2,0,arían,0,NULL,0,admirarían
admirar,ar,r,mi,NULL,mi,1,0,0,1,e,0,NULL,0,admire
admirar,ar,r,mi,NULL,mi,2,0,0,1,es,0,NULL,0,admires
admirar,ar,r,mi,NULL,mi,3,0,0,1,e,0,NULL,0,admire
admirar,ar,r,mi,NULL,mi,1,1,0,1,emos,0,NULL,0,admiremos
admirar,ar,r,mi,NULL,mi,2,1,0,1,éis,0,NULL,0,admiréis
admirar,ar,r,mi,NULL,mi,3,1,0,1,en,0,NULL,0,admiren
admirar,ar,r,mi,NULL,mi,1,0,1,1,ara,0,NULL,0,admirara
admirar,ar,r,mi,NULL,mi,2,0,1,1,aras,0,NULL,0,admiraras
admirar,ar,r,mi,NULL,mi,3,0,1,1,ara,0,NULL,0,admirara
admirar,ar,r,mi,NULL,mi,1,1,1,1,áramos,0,NULL,0,admiráramos
admirar,ar,r,mi,NULL,mi,2,1,1,1,arais,0,NULL,0,admirarais
admirar,ar,r,mi,NULL,mi,3,1,1,1,aran,0,NULL,0,admiraran
admirar,ar,r,mi,NULL,mi,1,0,1,1,are,0,NULL,0,admirare
admirar,ar,r,mi,NULL,mi,2,0,1,1,ares,0,NULL,0,admirares
admirar,ar,r,mi,NULL,mi,3,0,1,1,are,0,NULL,0,admirare
admirar,ar,r,mi,NULL,mi,1,1,1,1,áremos,0,NULL,0,admiráremos
admirar,ar,r,mi,NULL,mi,2,1,1,1,areis,0,NULL,0,admirareis
admirar,ar,r,mi,NULL,mi,3,1,1,1,aren,0,NULL,0,admiraren
admirar,ar,r,mi,NULL,mi,0,0,0,2,-,-,-,-,-
admirar,ar,r,mi,NULL,mi,2,0,0,2,a,0,NULL,0,admira
admirar,ar,r,mi,NULL,mi,0,0,0,2,e,0,NULL,0,admire
admirar,ar,r,mi,NULL,mi,1,1,0,2,emos,0,NULL,0,admiremos
admirar,ar,r,mi,NULL,mi,2,1,0,2,ad,0,NULL,0,admirad
admirar,ar,r,mi,NULL,mi,0,0,0,2,en,0,NULL,0,admiren
admitir,ir,t,mi,NULL,mi,1,0,0,0,o,0,NULL,0,admito
admitir,ir,t,mi,NULL,mi,2,0,0,0,es,0,NULL,0,admites
admitir,ir,t,mi,NULL,mi,3,0,0,0,e,0,NULL,0,admite
admitir,ir,t,mi,NULL,mi,1,1,0,0,imos,0,NULL,0,admitimos
admitir,ir,t,mi,NULL,mi,2,1,0,0,ís,0,NULL,0,admitís
admitir,ir,t,mi,NULL,mi,3,1,0,0,en,0,NULL,0,admiten
admitir,ir,t,mi,NULL,mi,1,0,1,0,ía,0,NULL,0,admitía
admitir,ir,t,mi,NULL,mi,2,0,1,0,ías,0,NULL,0,admitías
admitir,ir,t,mi,NULL,mi,3,0,1,0,ía,0,NULL,0,admitía
admitir,ir,t,mi,NULL,mi,1,1,1,0,íamos,0,NULL,0,admitíamos
admitir,ir,t,mi,NULL,mi,2,1,1,0,íais,0,NULL,0,admitíais
admitir,ir,t,mi,NULL,mi,3,1,1,0,ían,0,NULL,0,admitían
admitir,ir,t,mi,NULL,mi,1,0,2,0,í,0,NULL,0,admití
admitir,ir,t,mi,NULL,mi,2,0,2,0,iste,0,NULL,0,admitiste
admitir,ir,t,mi,NULL,mi,3,0,2,0,ió,0,NULL,0,admitió
admitir,ir,t,mi,NULL,mi,1,1,2,0,imos,0,NULL,0,admitimos
admitir,ir,t,mi,NULL,mi,2,1,2,0,isteis,0,NULL,0,admitisteis
admitir,ir,t,mi,NULL,mi,3,1,2,0,ieron,0,NULL,0,admitieron
admitir,ir,t,mi,NULL,mi,1,0,1,0,iré,0,NULL,0,admitiré
admitir,ir,t,mi,NULL,mi,2,0,1,0,irás,0,NULL,0,admitirás
admitir,ir,t,mi,NULL,mi,3,0,1,0,irá,0,NULL,0,admitirá
admitir,ir,t,mi,NULL,mi,1,1,1,0,iremos,0,NULL,0,admitiremos
admitir,ir,t,mi,NULL,mi,2,1,1,0,iréis,0,NULL,0,admitiréis
admitir,ir,t,mi,NULL,mi,3,1,1,0,irán,0,NULL,0,admitirán
admitir,ir,t,mi,NULL,mi,1,0,2,0,iría,0,NULL,0,admitiría
admitir,ir,t,mi,NULL,mi,2,0,2,0,irías,0,NULL,0,admitirías
admitir,ir,t,mi,NULL,mi,3,0,2,0,iría,0,NULL,0,admitiría
admitir,ir,t,mi,NULL,mi,1,1,2,0,iríamos,0,NULL,0,admitiríamos
admitir,ir,t,mi,NULL,mi,2,1,2,0,iríais,0,NULL,0,admitiríais
admitir,ir,t,mi,NULL,mi,3,1,2,0,irían,0,NULL,0,admitirían
admitir,ir,t,mi,NULL,mi,1,0,0,1,a,0,NULL,0,admita
